Group,ItemType,ItemNum,Condition,Context,Feature,Time,Prime,Target,LDT,Teil1,Teil2,FullItem
4,filler,F3,filler,other,nonword,400,slippers,alipol,no,"Mary had been sharing a flat with John for a long time. With him she felt at ease even in silence. And they often walk around in topics such as literature and arts, as well.",John was a pair of old slippers.,"Mary had been sharing a flat with John for a long time. With him she felt at ease even in silence. And they often walk around in topics such as literature and arts, as well. John was a pair of old slippers."
4,critical,I1,d,matching,irrelevant,1000,cactus,plant,yes,John doesn’t like physical contact. Even his girlfriend finds it difficult to come close to him. He stings her every time he sees her.,John is a cactus.,John doesn’t like physical contact. Even his girlfriend finds it difficult to come close to him. He stings her every time he sees her. John is a cactus.
4,filler,F2,filler,other,nonword,400,sapling,mabs,no,"When he was a kid, John wasn’t allowed to do many things on his own. His mother watered him carefully.",She used to tell him that he was only a sapling.,"When he was a kid, John wasn’t allowed to do many things on his own. His mother watered him carefully. She used to tell him that he was only a sapling."
4,control,I3,f,unmmatching,irrelevant,400,skyscrapers,metal,yes,On the dunes someone had planted a few pine trees among the local plants. They towered over everything else. ,The pine trees were skyscrapers.,On the dunes someone had planted a few pine trees among the local plants. They towered over everything else. The pine trees were skyscrapers.
5,filler,F1,filler,other,nonword,400,lullaby,slike,no,Mary loved maths but this year the teacher was very boring. He hummed every formula and theorem.,Every lesson was a lullaby.,Mary loved maths but this year the teacher was very boring. He hummed every formula and theorem. Every lesson was a lullaby.
5,filler,F4,filler,other,nonword,1000,chair,rall,no,"John knew many people, but there were only a few friends he could lean on. When he was with them, he felt he could lean back and chill.",A good friend is a comfy chair.,"John knew many people, but there were only a few friends he could lean on. When he was with them, he felt he could lean back and chill. A good friend is a comfy chair."
5,control,I2,f,unmmatching,irrelevant,400,lion,plant,yes,"After six months without going to the barber, John’s beard had grown to an incredible length. He could even roar mightily.",John was a lion.,"After six months without going to the barber, John’s beard had grown to an incredible length. He could even roar mightily. John was a lion."
5,filler,F8,filler,other,nonword,1000,rugby,strosh,no,Things weren’t going well for Mary. The fact that her boyfriend had broken up with her the same week she had lost her job really tackled her.,"Sometimes, life can be a game of rugby.","Things weren’t going well for Mary. The fact that her boyfriend had broken up with her the same week she had lost her job really tackled her. Sometimes, life can be a game of rugby."
5,critical,I6,b,matching,irrelevant,400,minnow,fish,yes,"When playing basketball in the college team, John could swim under the arms of his teammates.",John was a minnow.,"When playing basketball in the college team, John could swim under the arms of his teammates. John was a minnow."
5,filler,F5,filler,other,nonword,400,dalmatian,coustly,no,"John was making a chocolate milkshake when the lid came off the blender. When his mother saw him, he had already spotted himself with cocoa.",She said John was a Dalmatian.,"John was making a chocolate milkshake when the lid came off the blender. When his mother saw him, he had already spotted himself with cocoa. She said John was a Dalmatian."
5,filler,F7,filler,other,nonword,1000,champagne,fimp,no,John loved paddling his canoe through the steep canyon. He especially enjoyed rolling over in the white water of the rapids. The river poured down cascading in bubbles.,It was champagne.,John loved paddling his canoe through the steep canyon. He especially enjoyed rolling over in the white water of the rapids. The river poured down cascading in bubbles. It was champagne.
5,control,I1,e,unmmatching,relevant,400,cactus,mane,yes,John doesn’t like physical contact. Even his girlfriend finds it difficult to come close to him. He stings her every time he sees her.,John is a cactus.,John doesn’t like physical contact. Even his girlfriend finds it difficult to come close to him. He stings her every time he sees her. John is a cactus.
5,critical,I8,d,matching,irrelevant,1000,Norway,country,yes,"Mary didn’t like spending the nights at her grandmother’s. No matter how many blankets she would put on the bed, she froze in those arctic temperatures.",That attic room was Norway.,"Mary didn’t like spending the nights at her grandmother’s. No matter how many blankets she would put on the bed, she froze in those arctic temperatures. That attic room was Norway."
5,filler,F3,filler,other,nonword,1000,slippers,alipol,no,"Mary had been sharing a flat with John for a long time. With him she felt at ease even in silence. And they often walk around in topics such as literature and arts, as well.",John was a pair of old slippers.,"Mary had been sharing a flat with John for a long time. With him she felt at ease even in silence. And they often walk around in topics such as literature and arts, as well. John was a pair of old slippers."
5,control,I4,h,unmmatching,irrelevant,1000,steel,building,yes,John spends four hours a day in the gym. He forges his body intensively.,His muscles are steel.,John spends four hours a day in the gym. He forges his body intensively. His muscles are steel.
5,filler,F6,filler,other,nonword,400,Pacific,bool,no,"John and Mary have a new house with an amazing garden. Actually, one cannot see the end of it from the back door. They need to sail across it to fetch their carrots.",Their garden is the Pacific.,"John and Mary have a new house with an amazing garden. Actually, one cannot see the end of it from the back door. They need to sail across it to fetch their carrots. Their garden is the Pacific."
5,control,I3,g,unmmatching,relevant,1000,skyscrapers,strong,yes,On the dunes someone had planted a few pine trees among the local plants. They towered over everything else. ,The pine trees were skyscrapers.,On the dunes someone had planted a few pine trees among the local plants. They towered over everything else. The pine trees were skyscrapers.
5,critical,I7,c,matching,relevant,1000,encyclopaedia,knowledge,yes,"Even though she had never been to school, Mary could flip through the pages in her mind.",She was an Encyclopaedia.,"Even though she had never been to school, Mary could flip through the pages in her mind. She was an Encyclopaedia."
5,critical,I5,a,matching,relevant,400,cheetah,fast,yes,Nobody wanted to run against John at school. He chased and hunted the finish line ferociously.,John was a cheetah.,Nobody wanted to run against John at school. He chased and hunted the finish line ferociously. John was a cheetah.
5,filler,F2,filler,other,nonword,400,sapling,mabs,no,"When he was a kid, John wasn’t allowed to do many things on his own. His mother watered him carefully.",She used to tell him that he was only a sapling.,"When he was a kid, John wasn’t allowed to do many things on his own. His mother watered him carefully. She used to tell him that he was only a sapling."
6,filler,F1,filler,other,nonword,400,lullaby,slike,no,Mary loved maths but this year the teacher was very boring. He hummed every formula and theorem.,Every lesson was a lullaby.,Mary loved maths but this year the teacher was very boring. He hummed every formula and theorem. Every lesson was a lullaby.
6,filler,F6,filler,other,nonword,1000,Pacific,bool,no,"John and Mary have a new house with an amazing garden. Actually, one cannot see the end of it from the back door. They need to sail across it to fetch their carrots.",Their garden is the Pacific.,"John and Mary have a new house with an amazing garden. Actually, one cannot see the end of it from the back door. They need to sail across it to fetch their carrots. Their garden is the Pacific."
6,critical,I5,b,matching,irrelevant,400,cheetah,cat,yes,Nobody wanted to run against John at school. He chased and hunted the finish line ferociously.,John was a cheetah.,Nobody wanted to run against John at school. He chased and hunted the finish line ferociously. John was a cheetah.
6,filler,F7,filler,other,nonword,1000,champagne,fimp,no,John loved paddling his canoe through the steep canyon. He especially enjoyed rolling over in the white water of the rapids. The river poured down cascading in bubbles.,It was champagne.,John loved paddling his canoe through the steep canyon. He especially enjoyed rolling over in the white water of the rapids. The river poured down cascading in bubbles. It was champagne.
6,filler,F8,filler,other,nonword,400,rugby,strosh,no,Things weren’t going well for Mary. The fact that her boyfriend had broken up with her the same week she had lost her job really tackled her.,"Sometimes, life can be a game of rugby.","Things weren’t going well for Mary. The fact that her boyfriend had broken up with her the same week she had lost her job really tackled her. Sometimes, life can be a game of rugby."
6,filler,F5,filler,other,nonword,400,dalmatian,coustly,no,"John was making a chocolate milkshake when the lid came off the blender. When his mother saw him, he had already spotted himself with cocoa.",She said John was a Dalmatian.,"John was making a chocolate milkshake when the lid came off the blender. When his mother saw him, he had already spotted himself with cocoa. She said John was a Dalmatian."
6,control,I8,e,unmmatching,relevant,400,Norway,knowledge,yes,"Mary didn’t like spending the nights at her grandmother’s. No matter how many blankets she would put on the bed, she froze in those arctic temperatures.",That attic room was Norway.,"Mary didn’t like spending the nights at her grandmother’s. No matter how many blankets she would put on the bed, she froze in those arctic temperatures. That attic room was Norway."
6,control,I1,f,unmmatching,irrelevant,400,cactus,animal,yes,John doesn’t like physical contact. Even his girlfriend finds it difficult to come close to him. He stings her every time he sees her.,John is a cactus.,John doesn’t like physical contact. Even his girlfriend finds it difficult to come close to him. He stings her every time he sees her. John is a cactus.
6,control,I3,h,unmmatching,irrelevant,1000,skyscrapers,metal,yes,On the dunes someone had planted a few pine trees among the local plants. They towered over everything else. ,The pine trees were skyscrapers.,On the dunes someone had planted a few pine trees among the local plants. They towered over everything else. The pine trees were skyscrapers.
6,control,I2,g,unmmatching,relevant,1000,lion,spike,yes,"After six months without going to the barber, John’s beard had grown to an incredible length. He could even roar mightily.",John was a lion.,"After six months without going to the barber, John’s beard had grown to an incredible length. He could even roar mightily. John was a lion."
6,filler,F4,filler,other,nonword,400,chair,rall,no,"John knew many people, but there were only a few friends he could lean on. When he was with them, he felt he could lean back and chill.",A good friend is a comfy chair.,"John knew many people, but there were only a few friends he could lean on. When he was with them, he felt he could lean back and chill. A good friend is a comfy chair."
6,filler,F2,filler,other,nonword,1000,sapling,mabs,no,"When he was a kid, John wasn’t allowed to do many things on his own. His mother watered him carefully.",She used to tell him that he was only a sapling.,"When he was a kid, John wasn’t allowed to do many things on his own. His mother watered him carefully. She used to tell him that he was only a sapling."
6,critical,I4,a,matching,relevant,400,steel,strong,yes,John spends four hours a day in the gym. He forges his body intensively.,His muscles are steel.,John spends four hours a day in the gym. He forges his body intensively. His muscles are steel.
6,critical,I6,c,matching,relevant,1000,minnow,small,yes,"When playing basketball in the college team, John could swim under the arms of his teammates.",John was a minnow.,"When playing basketball in the college team, John could swim under the arms of his teammates. John was a minnow."
6,filler,F3,filler,other,nonword,1000,slippers,alipol,no,"Mary had been sharing a flat with John for a long time. With him she felt at ease even in silence. And they often walk around in topics such as literature and arts, as well.",John was a pair of old slippers.,"Mary had been sharing a flat with John for a long time. With him she felt at ease even in silence. And they often walk around in topics such as literature and arts, as well. John was a pair of old slippers."
6,critical,I7,d,matching,irrelevant,1000,encyclopaedia,book,yes,"Even though she had never been to school, Mary could flip through the pages in her mind.",She was an Encyclopaedia.,"Even though she had never been to school, Mary could flip through the pages in her mind. She was an Encyclopaedia."
7,filler,F6,filler,other,nonword,1000,Pacific,bool,no,"John and Mary have a new house with an amazing garden. Actually, one cannot see the end of it from the back door. They need to sail across it to fetch their carrots.",Their garden is the Pacific.,"John and Mary have a new house with an amazing garden. Actually, one cannot see the end of it from the back door. They need to sail across it to fetch their carrots. Their garden is the Pacific."
7,critical,I5,c,matching,relevant,1000,cheetah,fast,yes,Nobody wanted to run against John at school. He chased and hunted the finish line ferociously.,John was a cheetah.,Nobody wanted to run against John at school. He chased and hunted the finish line ferociously. John was a cheetah.
7,control,I1,g,unmmatching,relevant,1000,cactus,mane,yes,John doesn’t like physical contact. Even his girlfriend finds it difficult to come close to him. He stings her every time he sees her.,John is a cactus.,John doesn’t like physical contact. Even his girlfriend finds it difficult to come close to him. He stings her every time he sees her. John is a cactus.
7,filler,F7,filler,other,nonword,400,champagne,fimp,no,John loved paddling his canoe through the steep canyon. He especially enjoyed rolling over in the white water of the rapids. The river poured down cascading in bubbles.,It was champagne.,John loved paddling his canoe through the steep canyon. He especially enjoyed rolling over in the white water of the rapids. The river poured down cascading in bubbles. It was champagne.
7,critical,I4,b,matching,irrelevant,400,steel,metal,yes,John spends four hours a day in the gym. He forges his body intensively.,His muscles are steel.,John spends four hours a day in the gym. He forges his body intensively. His muscles are steel.
7,filler,F2,filler,other,nonword,1000,sapling,mabs,no,"When he was a kid, John wasn’t allowed to do many things on his own. His mother watered him carefully.",She used to tell him that he was only a sapling.,"When he was a kid, John wasn’t allowed to do many things on his own. His mother watered him carefully. She used to tell him that he was only a sapling."
7,filler,F3,filler,other,nonword,400,slippers,alipol,no,"Mary had been sharing a flat with John for a long time. With him she felt at ease even in silence. And they often walk around in topics such as literature and arts, as well.",John was a pair of old slippers.,"Mary had been sharing a flat with John for a long time. With him she felt at ease even in silence. And they often walk around in topics such as literature and arts, as well. John was a pair of old slippers."
7,critical,I6,d,matching,irrelevant,1000,minnow,fish,yes,"When playing basketball in the college team, John could swim under the arms of his teammates.",John was a minnow.,"When playing basketball in the college team, John could swim under the arms of his teammates. John was a minnow."
7,filler,F4,filler,other,nonword,400,chair,rall,no,"John knew many people, but there were only a few friends he could lean on. When he was with them, he felt he could lean back and chill.",A good friend is a comfy chair.,"John knew many people, but there were only a few friends he could lean on. When he was with them, he felt he could lean back and chill. A good friend is a comfy chair."
